expt_no_true,expt_no,sit_probability,bend_probability,stand_probability,tampered_probability,inaction_probability,w_bl,w_br,w_b_sum,w_b_change,w_fl,w_fr,w_f_sum,w_f_change,v_bidet,v_tissue,label,sit_total,bend_total,stand_total,tampered_total,inaction_total,predicted_label
28,6,6.57E-10,8.87E-11,1.10E-08,1,2.06E-09,697.63,505.19,1202.82,-2.93,3.67,0.72,4.39,-0.11,0,0,1,0,0,0,0,0,1
28,6,1.69E-09,2.20E-10,1.46E-08,1,2.06E-09,696.3,507.62,1203.92,1.1,3.6,0.69,4.29,-0.1,0,0,1,0,0,0,0,0,1
28,6,5.77E-10,5.52E-11,7.82E-09,1,2.06E-09,696.87,508.32,1205.19,1.27,3.66,0.9,4.56,0.27,0,0,1,0,0,0,0,0,1
28,6,9.58E-10,1.39E-10,9.44E-09,1,2.06E-09,697.29,508.99,1206.28,1.09,3.75,0.95,4.7,0.14,0,0,1,0,0,0,0,0,1
30,7,0.999998689,1.33E-06,7.99E-10,3.40E-10,2.06E-09,432,255.5,687.5,0,NA,NA,NA,0,0,0,0,0.999999109,9.04E-07,5.43E-10,2.31E-10,1.40E-09,0
30,7,0.999999285,7.69E-07,6.13E-10,2.54E-10,2.06E-09,745.97,426.05,1172.02,484.52,0,7,7,7,0,0,0,0.999999514,5.23E-07,4.17E-10,1.73E-10,1.40E-09,0
30,7,0.999997854,2.13E-06,8.82E-10,3.13E-10,2.06E-09,826.8,481.11,1307.91,135.89,0,5.12,5.12,-1.88,0,0,0,0.999998541,1.45E-06,6.00E-10,2.13E-10,1.40E-09,0
30,7,0.999999404,5.68E-07,6.45E-10,1.79E-10,2.06E-09,846.82,504.38,1351.2,43.29,0,4,4,-1.12,0,0,0,0.999999595,3.86E-07,4.39E-10,1.22E-10,1.40E-09,0
30,7,0.999999166,8.18E-07,6.25E-10,2.06E-10,2.06E-09,853.42,510.13,1363.55,12.35,0,3.27,3.27,-0.73,0,0,0,0.999999433,5.56E-07,4.25E-10,1.40E-10,1.40E-09,0
30,7,0.999998689,1.33E-06,6.79E-10,2.99E-10,2.06E-09,858.3,513.88,1372.18,8.63,0,2.38,2.38,-0.89,0,0,0,0.999999109,9.04E-07,4.62E-10,2.03E-10,1.40E-09,0
30,7,0.999997139,2.86E-06,8.26E-10,4.46E-10,2.06E-09,856.67,513.14,1369.81,-2.37,0,2.09,2.09,-0.29,0,0,0,0.999998055,1.94E-06,5.62E-10,3.03E-10,1.40E-09,0
30,7,0.999998093,1.88E-06,7.55E-10,4.14E-10,2.06E-09,858.08,514.26,1372.34,2.53,0,2.08,2.08,-0.01,0,0,0,0.999998703,1.28E-06,5.13E-10,2.82E-10,1.40E-09,0
30,7,0.999999762,2.53E-07,6.05E-10,1.87E-10,2.06E-09,858.98,515.52,1374.5,2.16,0.45,1.87,2.32,0.24,0,0,0,0.999999838,1.72E-07,4.11E-10,1.27E-10,1.40E-09,0
30,7,0.999999285,7.19E-07,9.54E-10,2.45E-10,2.06E-09,857.65,508.32,1365.97,-8.53,0.86,1.56,2.42,0.1,0,0,0,0.999999514,4.89E-07,6.49E-10,1.67E-10,1.40E-09,0
30,7,0.999999404,5.43E-07,6.57E-10,1.80E-10,2.06E-09,858.61,508.81,1367.42,1.45,1.16,1.43,2.59,0.17,0,0,0,0.999999595,3.69E-07,4.47E-10,1.22E-10,1.40E-09,0
30,7,0.999999046,9.49E-07,6.17E-10,2.88E-10,2.06E-09,859.18,508.59,1367.77,0.35,1.08,1.48,2.56,-0.03,0,0,0,0.999999351,6.45E-07,4.20E-10,1.96E-10,1.40E-09,0
30,7,0.999999046,1.00E-06,6.83E-10,3.32E-10,2.06E-09,860.06,509.81,1369.87,2.1,1.01,1.37,2.38,-0.18,0,0,0,0.999999351,6.80E-07,4.64E-10,2.26E-10,1.40E-09,0
